Conjuge,Dependentes,TelefoneFixo,SegurancaOnline,BackupOnline,SeguroNoDispositivo,SuporteTecnico,TVaCabo,StreamingDeFilmes,PagamentoOnline,Maior65Anos,MesesDeContrato,ContaMensal,VariasLinhasTelefonicas_Nao,VariasLinhasTelefonicas_SemServicoTelefonico,VariasLinhasTelefonicas_Sim,ServicoDeInternet_DSL,ServicoDeInternet_FibraOptica,ServicoDeInternet_Nao,TipoDeContrato_DoisAnos,TipoDeContrato_Mensalmente,TipoDeContrato_UmAno,FormaDePagamento_CartaoDeCredito,FormaDePagamento_ChequeDigital,FormaDePagamento_ChequePapel,FormaDePagamento_DebitoEmConta,Churn
1,1,0,0,1,0,0,0,0,0,0,1,30.2,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,0,1,1,1,1,1,1,1,1,0,72,90.25,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,1,1,1,0,17,64.7,1,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,1,1,1,1,1,0,0,1,1,71,96.35,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,1,1,1,1,2,95.5,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,27,66.15,1,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,1,20.2,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1,45.25,1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0,0,0,72,99.9,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,5,69.7,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,1,0,46,74.8,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,0,1,1,0,1,1,1,0,34,106.35,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,1,0,1,1,1,0,11,97.85,0,0,1,0,1,0,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,0,0,0,0,10,49.55,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,0,0,1,0,1,0,70,69.2,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,17,20.75,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,1,1,1,1,0,1,0,63,79.85,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,1,0,1,1,0,1,0,13,76.2,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,1,0,49,84.5,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,0,0,2,49.25,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,1,0,2,80.65,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,1,1,1,1,0,52,79.75,0,0,1,1,0,0,1,0,0,1,0,0,0,0
1,1,1,1,0,1,1,0,0,1,0,69,64.15,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,0,1,0,1,0,0,1,0,1,1,43,90.25,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,1,1,1,0,0,1,1,1,0,15,99.1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
1,0,1,1,0,0,1,1,0,1,1,25,69.5,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,0,1,0,1,0,0,0,0,1,1,8,80.65,0,0,1,0,1,0,0,1,0,1,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,60,74.85,1,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1,1,1,1,18,95.45,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,1,1,1,0,0,0,1,1,1,0,63,99.65,0,0,1,0,1,0,0,0,1,1,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1,66,108.45,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,34,24.95,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0,0,1,0,0,1,1,1,1,1,0,72,107.5,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,0,1,0,0,1,0,1,1,1,0,47,100.5,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,1,0,60,89.9,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,0,0,72,42.1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,0,0,1,1,0,0,1,0,18,54.4,1,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,9,94.4,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,1,0,1,1,1,1,0,3,75.3,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,1,0,47,78.9,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,1,1,1,1,1,0,0,31,79.2,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,50,20.15,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0,10,79.85,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,1,49.05,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,1,0,52,20.4,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,1,1,1,0,1,1,1,1,1,1,64,111.6,0,0,1,0,1,0,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,1,0,62,24.25,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,1,1,1,0,0,1,0,1,1,0,3,64.5,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,1,1,1,1,0,1,1,0,1,56,110.5,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,46,55.65,1,0,0,1,0,0,0,0,1,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,8,54.65,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,1,1,0,0,1,1,1,1,30,74.75,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,1,0,45,25.9,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,1,79.35,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,1,0,1,0,0,0,1,1,0,0,11,50.55,0,1,0,1,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,1,0,0,0,1,0,7,75.15,1,0,0,0,1,0,0,1,0,0,0,0,1,1
0,0,1,0,1,1,1,1,1,1,0,42,103.8,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0,1,0,49,20.15,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,1,1,1,0,9,99.3,0,0,1,0,1,0,0,1,0,1,0,0,0,0
1,0,1,1,0,0,0,1,0,1,0,35,62.15,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,48,20.65,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,1,0,46,19.95,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,29,33.75,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,1,1,0,0,0,0,0,30,82.05,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,1,74.7,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,1,1,0,1,1,1,1,1,0,66,84.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0,0,1,1,1,1,0,1,1,1,0,65,111.05,0,0,1,0,1,0,0,1,0,1,0,0,0,0
0,0,1,0,1,1,0,1,1,1,0,72,100.9,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,12,78.95,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,1,1,1,1,0,1,0,0,1,0,71,66.85,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,5,21.05,1,0,0,0,0,1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,0,52,21.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,1,0,1,1,0,1,1,1,1,25,98.5,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,1,20.2,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,19.45,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,1,1,1,0,0,0,38,95.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,1,0,0,1,66,45.55,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,0,1,0,1,1,1,1,1,1,0,68,110.0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,5,24.3,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,1,0,0,1,1,1,0,72,104.15,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,32,30.15,0,1,0,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,1,1,0,0,43,94.35,0,0,1,0,1,0,0,0,1,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,72,19.4,1,0,0,0,0,1,1,0,0,1,0,0,0,0
1,0,1,1,1,0,0,1,0,1,0,55,96.75,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,1,0,0,0,0,52,57.95,1,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,1,0,1,1,0,1,0,1,0,43,91.65,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,1,1,37,76.5,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,1,0,0,1,0,1,1,1,1,0,64,54.6,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,1,1,0,0,1,0,0,0,3,89.85,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,36,31.05,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,1,0,0,0,1,1,1,0,10,100.25,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,41,20.65,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,1,0,1,0,1,0,0,1,0,27,85.2,0,0,1,0,1,0,0,1,0,1,0,0,0,0
1,1,1,0,0,1,0,1,1,1,0,56,99.8,0,0,1,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,6,20.7,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,3,74.4,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,1,1,1,0,0,0,0,0,0,0,7,50.7,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,4,20.85,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,0,0,1,1,0,1,0,33,88.95,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,1,1,27,78.05,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,0,0,0,0,0,1,0,72,23.55,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1,19.75,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,1,1,0,0,1,1,1,1,71,56.45,0,1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,1,0,13,85.95,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,0,1,1,1,0,1,1,1,0,25,58.6,0,1,0,1,0,0,0,1,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,67,50.55,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,1,0,1,35.45,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,2,44.35,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,0,43,25.7,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0,23,75.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,64,20.2,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,0,1,0,57,19.6,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,1,1,1,70.45,1,0,0,0,1,0,0,1,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,72,88.05,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,8,71.15,0,0,1,1,0,0,0,1,0,0,1,0,0,1
1,0,1,0,1,0,0,1,1,1,0,61,101.05,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,1,0,64,84.3,0,0,1,0,1,0,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,1,71,23.95,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0,1,0,65,99.05,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,3,19.6,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,1,45.65,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0,1,1,0,1,1,0,1,0,0,0,30,64.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0
1,1,1,0,1,1,1,0,1,1,0,15,69.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,1,1,1,1,0,8,68.55,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,1,1,0,0,7,95.0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
1,1,1,1,1,1,0,1,1,1,0,70,108.15,0,0,1,0,1,0,0,0,1,1,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,62,86.1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,0,0,6,19.7,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,0,1,1,0,14,80.9,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,22,84.15,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,22,20.15,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,1,1,1,0,1,0,1,0,0,0,16,64.25,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,10,25.7,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,1,1,1,1,0,0,0,0,1,0,13,56.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,0,20,82.4,0,0,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,0,2,69.7,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,1,1,1,0,1,1,0,53,73.9,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,0,11,20.6,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,69,19.9,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,4,70.9,1,0,0,0,1,0,0,1,0,0,0,0,1,1
1,0,1,1,1,1,1,1,1,1,0,72,89.05,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,1,1,1,58,45.3,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,1,1,0,0,0,0,0,0,0,0,16,20.4,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,1,1,0,1,1,0,0,1,0,43,84.25,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,1,0,0,1,1,1,1,1,0,2,104.4,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,1,1,1,1,1,0,0,14,81.95,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,1,1,1,0,53,94.85,1,0,0,0,1,0,0,0,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,32,20.55,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0,34,24.7,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,1,1,15,74.45,0,0,1,0,1,0,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,0,0,0,1,7,76.45,1,0,0,0,1,0,0,1,0,0,0,0,1,1
1,1,1,0,1,1,0,1,1,1,0,15,105.35,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0,1,0,61,20.55,1,0,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,29.95,0,1,0,1,0,0,0,1,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,1,45.3,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,8,84.5,0,0,1,0,1,0,0,1,0,0,0,0,1,1
1,1,1,1,0,1,0,1,1,0,0,33,74.75,1,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,1,0,1,1,0,0,0,1,0,13,79.25,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,1,24.8,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,1,0,0,0,0,1,0,20,51.8,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,3,30.4,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,13,19.65,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,0,1,0,0,0,0,0,0,40,56.6,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,1,1,1,0,0,1,0,1,1,0,43,71.9,0,0,1,1,0,0,0,0,1,1,0,0,0,0
1,0,1,0,1,1,0,0,1,1,0,6,91.0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,1,1,0,0,0,0,0,0,0,0,69,19.75,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,1,0,0,72,109.7,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,59,19.3,1,0,0,0,0,1,1,0,0,1,0,0,0,0
1,0,1,1,1,0,1,1,0,1,0,20,96.55,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,1,0,0,0,0,0,0,1,0,24,24.1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,0,1,0,1,1,1,1,1,1,0,59,111.35,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,1,0,1,1,1,1,1,1,0,72,112.25,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,20.75,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,1,1,0,0,1,1,1,1,0,27,101.9,1,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,1,0,1,0,0,1,0,14,80.05,1,0,0,0,1,0,0,1,0,1,0,0,0,0
1,1,1,1,0,1,0,1,1,0,0,71,105.55,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,1,1,0,0,0,0,1,0,1,0,13,78.3,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,44,68.85,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,0,1,0,1,0,0,1,0,33,79.95,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,0,1,1,1,1,0,1,1,0,72,55.45,0,1,0,1,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,79.9,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,1,1,1,1,0,19,106.6,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,1,1,1,1,1,1,0,64,102.45,1,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,2,46.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,25.25,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,1,1,0,0,0,0,0,0,0,0,61,19.75,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,0,29,20.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,1,23,86.8,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,0,0,1,1,1,0,1,1,1,0,57,58.75,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,1,0,1,1,1,1,0,0,0,0,72,45.25,0,1,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,1,1,1,1,1,0,1,0,66,56.6,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,0,1,1,1,1,1,1,0,65,84.2,0,0,1,1,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,0,8,80.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,4,70.15,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,71,24.75,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,1,0,1,20.2,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,1,0,0,0,1,0,0,0,0,4,50.05,1,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,12,19.35,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,1,1,1,0,24,50.6,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,1,1,1,0,1,1,1,1,1,0,31,81.15,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,0,1,55.2,1,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,1,0,1,1,0,30,89.9,0,0,1,0,1,0,0,1,0,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1,0,47,85.3,0,0,1,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,1,0,1,1,1,1,0,54,108.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0,1,1,1,0,1,0,1,1,0,50,93.5,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,1,0,0,0,0,1,1,0,1,84.6,1,0,0,0,1,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,0,72,20.25,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,29,25.15,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,1,0,2,54.4,0,0,1,1,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1,0,10,29.6,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,1,0,18,73.15,0,0,1,0,1,0,0,1,0,0,1,0,0,0
