fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,1,2,4,2,1,96.5,157.1,63.9,58.3,2024,3,1,92,4,13,12,13,76,6000,30,34,35
1,1,1,2,2,1,96.5,167.5,65.2,53.3,2236,3,1,110,4,14,14,1,86,5800,27,33,36
1,1,1,2,2,1,96.5,167.5,65.2,53.3,2289,3,1,110,4,14,14,1,86,5800,27,33,37
1,1,2,3,2,1,96.5,175.4,65.2,54.1,2304,3,1,110,4,14,14,1,86,5800,27,33,38
1,1,2,3,2,1,96.5,175.4,62.5,54.1,2372,3,1,110,4,14,14,1,86,5800,27,33,39
1,1,2,3,2,1,96.5,175.4,65.2,54.1,2465,3,1,110,1,14,14,1,101,5800,24,28,40
1,1,1,3,2,1,96.5,169.1,66.0,51.0,2293,3,1,110,2,14,14,15,100,5500,25,31,41
1,1,2,3,1,1,94.3,170.7,61.8,53.5,2337,3,1,111,2,6,9,4,78,4800,24,29,42
1,1,1,3,2,1,94.5,155.9,63.6,52.0,1874,3,1,90,2,9,8,9,70,5400,38,43,43
1,1,2,3,2,1,94.5,155.9,63.6,52.0,1909,3,1,90,2,9,8,9,70,5400,38,43,43
1,1,1,2,1,1,96.0,172.6,65.2,51.4,2734,3,1,119,5,15,9,13,90,5000,24,29,44
1,1,2,3,1,1,113.0,199.6,69.6,52.8,4066,1,2,258,1,16,15,16,176,4750,15,19,45
1,1,2,3,1,1,113.0,199.6,69.6,52.8,4066,1,2,258,1,16,15,16,176,4750,15,19,46
1,1,1,3,1,1,102.0,191.7,70.6,47.8,3950,2,5,326,1,17,16,17,262,5000,13,17,47
1,1,1,2,2,1,93.1,159.1,64.2,54.1,1890,3,1,91,2,9,17,1,68,5000,30,31,48
1,1,1,2,2,1,93.1,159.1,64.2,54.1,1900,3,1,91,2,9,17,1,68,5000,31,38,49
1,1,1,2,2,1,93.1,159.1,64.2,54.1,1905,3,1,91,2,9,17,1,68,5000,31,38,50
1,1,2,3,2,1,93.1,166.8,64.2,54.1,1945,3,1,91,2,9,17,1,68,5000,31,38,51
1,1,2,3,2,1,93.1,166.8,64.2,54.1,1950,3,1,91,2,18,17,1,68,5000,31,38,52
1,1,1,2,1,1,95.3,169.0,65.7,49.6,2380,5,6,70,6,19,18,11,101,6000,17,23,53
1,1,1,2,1,1,95.3,169.0,65.7,49.6,2380,5,6,70,6,19,18,11,101,6000,17,23,54
1,1,1,2,1,1,95.3,169.0,65.7,49.6,2385,5,6,70,6,19,18,11,101,6000,17,23,55
1,1,1,2,1,1,95.3,169.0,65.7,49.6,2500,5,6,80,1,19,18,11,135,6000,16,23,56
1,1,1,2,2,1,98.8,177.8,66.5,53.7,2385,3,1,122,2,20,6,18,84,4800,26,32,38
1,1,2,3,2,1,98.8,177.8,66.5,55.5,2410,3,1,122,2,20,6,18,84,4800,26,32,57
1,1,1,2,2,1,98.8,177.8,66.5,53.7,2385,3,1,122,2,20,6,18,84,4800,26,32,58
1,1,2,3,2,1,98.8,177.8,66.5,55.5,2410,3,1,122,2,20,6,18,84,4800,26,32,59
2,1,2,3,2,1,98.8,177.8,66.5,55.5,2443,3,1,122,7,20,6,19,64,4650,36,42,60
1,1,2,2,2,1,98.8,177.8,66.5,55.5,2425,3,1,122,2,20,6,18,84,4800,26,32,61
1,1,2,3,1,1,104.9,175.0,66.1,54.4,2670,3,1,140,1,21,19,3,120,5000,19,27,62
2,1,2,3,1,1,104.9,175.0,66.1,54.4,2700,3,1,134,7,15,20,20,72,4200,31,39,63
2,2,2,3,1,1,110.0,190.9,70.3,56.5,3515,3,3,183,7,22,20,21,123,4350,22,25,64
2,2,2,4,1,1,110.0,190.9,70.3,58.7,3750,3,3,183,7,22,20,21,123,4350,22,25,65
2,2,1,5,1,1,106.7,187.5,70.3,54.9,3495,3,3,183,7,22,20,21,123,4350,22,25,66
2,2,2,3,1,1,115.6,202.6,71.7,56.3,3770,3,3,183,7,22,20,21,123,4350,22,25,67
1,1,2,3,1,1,115.6,202.6,71.7,56.5,3740,2,7,234,1,23,21,5,155,4750,16,18,68
1,1,1,1,1,1,96.6,180.3,70.5,50.8,3685,2,7,234,1,23,21,5,155,4750,16,18,69
1,1,2,3,1,1,120.9,208.1,71.7,56.7,3900,2,7,308,1,18,22,3,184,4500,14,16,70
1,1,1,5,1,1,112.0,199.2,72.0,55.4,3715,2,7,304,1,18,22,3,184,4500,14,16,71
1,2,1,2,1,1,102.7,178.4,68.0,54.8,2910,3,1,140,1,24,23,3,175,5000,19,24,72
1,1,1,2,2,1,93.7,157.3,64.4,50.8,1918,3,1,92,2,10,9,11,68,5500,37,41,73
1,1,1,2,2,1,93.7,157.3,64.4,50.8,1944,3,1,92,2,10,9,11,68,5500,31,38,74
1,1,1,2,2,1,93.7,157.3,64.4,50.8,2004,3,1,92,2,10,9,11,68,5500,31,38,75
1,2,1,2,2,1,93.0,157.3,63.8,50.8,2145,3,1,98,8,9,6,12,102,5500,24,30,76
1,2,1,2,2,1,96.3,173.0,65.4,49.4,2370,3,1,110,8,25,10,22,116,5500,23,30,77
1,1,1,2,2,1,96.3,173.0,65.4,49.4,2328,3,1,122,2,26,10,4,88,5000,25,32,78
1,2,1,2,2,1,95.9,173.2,66.3,50.2,2833,3,1,156,8,22,24,6,145,5000,19,24,79
1,2,1,2,2,1,95.9,173.2,66.3,50.2,2921,3,1,156,8,27,24,6,145,5000,19,24,80
1,2,1,2,2,1,95.9,173.2,66.3,50.2,2926,3,1,156,8,27,24,6,145,5000,19,24,81
1,1,2,3,2,1,96.3,172.4,65.4,51.6,2365,3,1,122,2,26,10,4,88,5000,25,32,82
1,1,2,3,2,1,96.3,172.4,65.4,51.6,2405,3,1,122,2,26,10,4,88,5000,25,32,83
1,2,2,3,2,1,96.3,172.4,65.4,51.6,2403,3,1,110,8,25,10,22,116,5500,23,30,84
1,1,2,3,2,1,96.3,172.4,65.4,51.6,2403,3,1,110,8,25,10,22,116,5500,23,30,84
1,1,1,3,2,1,94.5,165.3,63.8,54.5,1889,3,1,97,2,14,25,11,69,5200,31,37,85
2,1,1,3,2,1,94.5,165.3,63.8,54.5,2017,3,1,103,7,28,2,23,55,4800,45,50,86
1,1,1,3,2,1,94.5,165.3,63.8,54.5,1918,3,1,97,2,14,25,11,69,5200,31,37,87
1,1,2,3,2,1,94.5,165.3,63.8,54.5,1938,3,1,97,2,14,25,11,69,5200,31,37,88
1,1,2,4,2,1,94.5,170.2,63.8,53.5,2024,3,1,97,2,14,25,11,69,5200,31,37,89
1,1,1,3,2,1,94.5,165.3,63.8,54.5,1951,3,1,97,2,14,25,11,69,5200,31,37,90
1,1,1,2,2,1,94.5,165.6,63.8,53.3,2028,3,1,97,2,14,25,11,69,5200,31,37,91
1,1,2,3,2,1,94.5,165.3,63.8,54.5,1971,3,1,97,2,14,25,11,69,5200,31,37,92
1,1,2,4,2,1,94.5,170.2,63.8,53.5,2037,3,1,97,2,14,25,11,69,5200,31,37,93
1,1,1,5,2,1,95.1,162.4,63.8,53.3,2008,3,1,97,2,14,25,11,69,5200,31,37,94
1,1,2,2,2,1,97.2,173.4,65.2,54.7,2324,3,1,120,2,19,2,4,97,5200,27,34,95
1,1,2,3,2,1,97.2,173.4,65.2,54.7,2302,3,1,120,2,19,2,4,97,5200,27,34,96
1,1,2,3,2,1,100.4,181.7,66.5,55.1,3095,2,2,181,1,15,26,1,152,5200,17,22,97
1,1,2,4,2,1,100.4,184.6,66.5,56.1,3296,2,2,181,1,15,26,1,152,5200,17,22,98
1,1,2,3,2,1,100.4,184.6,66.5,55.1,3060,2,2,181,1,15,26,1,152,5200,19,25,97
1,1,1,2,1,1,91.3,170.7,67.9,49.7,3071,2,2,181,1,15,26,1,160,5200,19,25,99
1,2,1,2,1,1,91.3,170.7,67.9,49.7,3139,2,2,181,1,15,26,24,200,5200,17,23,100
1,1,1,2,1,1,99.2,178.5,67.9,49.7,3139,2,2,181,1,15,26,1,160,5200,19,25,101
1,1,2,3,1,1,107.9,186.7,68.4,56.7,3020,4,1,120,1,23,5,25,97,5000,19,24,102
2,2,2,3,1,1,107.9,186.7,68.4,56.7,3197,4,1,152,7,29,27,26,95,4150,28,33,103
1,1,2,4,1,1,114.2,198.9,68.4,58.7,3230,4,1,120,1,23,5,25,97,5000,19,24,104
2,2,2,4,1,1,114.2,198.9,68.4,58.7,3430,4,1,152,7,29,27,26,95,4150,25,25,105
1,1,2,3,1,1,107.9,186.7,68.4,56.7,3075,4,1,120,1,23,28,25,95,5000,19,24,106
2,2,2,3,1,1,107.9,186.7,68.4,56.7,3252,4,1,152,7,29,27,26,95,4150,28,33,107
1,1,2,4,1,1,114.2,198.9,68.4,56.7,3285,4,1,120,1,23,28,25,95,5000,19,24,108
2,2,2,4,1,1,114.2,198.9,68.4,58.7,3485,4,1,152,7,29,27,26,95,4150,25,25,109
1,1,2,3,1,1,107.9,186.7,68.4,56.7,3075,4,1,120,1,23,5,25,97,5000,19,24,110
2,2,2,3,1,1,107.9,186.7,68.4,56.7,3252,4,1,152,7,29,27,26,95,4150,28,33,111
1,2,2,3,1,1,108.0,186.7,68.3,56.0,3130,4,1,134,1,30,29,6,142,5600,18,24,112
1,1,1,2,2,1,93.7,157.3,63.8,50.8,1918,3,1,90,2,10,9,11,68,5500,37,41,21
1,2,1,2,2,1,93.7,157.3,63.8,50.8,2128,3,1,98,8,9,6,12,102,5500,24,30,23
1,1,2,2,2,1,93.7,157.3,63.8,50.6,1967,3,1,90,2,10,9,11,68,5500,31,38,24
1,1,2,3,2,1,93.7,167.3,63.8,50.8,1989,3,1,90,2,10,9,11,68,5500,31,38,25
1,1,2,3,2,1,93.7,167.3,63.8,50.8,2191,3,1,98,2,10,9,11,68,5500,31,38,26
1,1,2,4,2,1,103.3,174.6,64.6,59.8,2535,3,1,122,2,26,10,4,88,5000,24,30,28
1,2,1,2,1,1,95.9,173.2,66.3,50.2,2818,3,1,156,8,27,24,6,145,5000,19,24,113
1,1,1,2,1,1,94.5,168.9,68.3,50.2,2778,3,1,151,1,31,8,8,143,5500,19,27,114
1,1,1,5,1,2,89.5,168.9,65.0,51.6,2756,6,2,194,1,32,30,8,207,5900,17,25,115
1,1,1,5,1,2,89.5,168.9,65.0,51.6,2756,6,2,194,1,32,30,8,207,5900,17,25,116
1,1,1,1,1,2,89.5,168.9,65.0,51.6,2800,6,2,194,1,32,30,8,207,5900,17,25,117
1,1,1,2,1,1,98.4,175.7,72.3,50.5,3366,7,7,203,1,31,8,2,288,5750,17,28,118
1,1,2,4,2,1,96.1,181.5,66.5,55.2,2579,3,1,132,1,23,11,27,90,5100,23,31,119
1,1,1,2,2,1,96.1,176.8,66.6,50.5,2460,3,1,132,1,23,11,27,90,5100,23,31,120
1,1,1,2,2,1,99.1,186.6,66.5,56.1,2658,3,1,121,1,17,13,28,110,5250,21,28,121
1,1,2,3,2,1,99.1,186.6,66.5,56.1,2695,3,1,121,1,17,13,29,110,5250,21,28,122
1,1,1,2,2,1,99.1,186.6,66.5,56.1,2707,3,1,121,1,33,31,29,110,5250,21,28,123
1,1,2,3,2,1,99.1,186.6,66.5,56.1,2758,3,1,121,1,17,13,29,110,5250,21,28,124
1,2,1,2,2,1,99.1,186.6,66.5,56.1,2808,1,1,121,1,17,13,1,160,5500,19,26,112
1,2,2,3,2,1,99.1,186.6,66.5,56.1,2847,1,1,121,1,17,13,1,160,5500,19,26,125
1,1,1,2,2,1,93.7,156.9,63.4,53.7,2050,6,1,97,2,7,32,1,69,4900,31,36,126
1,1,1,2,2,1,93.7,157.9,63.6,53.7,2120,6,1,108,2,7,33,27,73,4400,26,31,127
1,1,1,2,3,1,93.3,157.3,63.8,55.7,2240,6,1,108,2,7,33,27,73,4400,26,31,128
1,1,2,3,2,1,97.2,172.0,65.4,52.5,2145,6,1,108,2,7,33,8,82,4800,32,37,129
1,1,2,3,2,1,97.2,172.0,65.4,52.5,2190,6,1,108,2,7,33,8,82,4400,28,33,130
1,1,2,3,2,1,97.2,172.0,65.4,52.5,2340,6,1,108,1,7,33,1,94,5200,26,32,131
1,1,2,3,3,1,97.0,172.0,65.4,54.3,2385,6,1,108,2,7,33,1,82,4800,24,25,132
1,2,2,3,3,1,97.0,172.0,65.4,54.3,2510,6,1,108,1,7,33,30,111,4800,24,29,133
1,1,2,4,2,1,97.0,173.5,65.4,53.0,2290,6,1,108,2,7,33,1,82,4800,28,32,134
1,1,2,4,2,1,97.0,173.5,65.4,53.0,2455,6,1,108,1,7,33,1,94,5200,25,31,135
1,1,2,4,3,1,96.9,173.6,65.4,54.9,2420,6,1,108,2,7,33,1,82,4800,23,29,136
1,2,2,4,3,1,96.9,173.6,65.4,54.9,2650,6,1,108,1,7,33,30,111,4800,23,23,137
1,1,1,2,2,1,95.7,158.7,63.6,54.5,1985,3,1,92,2,5,7,1,62,4800,35,39,138
1,1,1,2,2,1,95.7,158.7,63.6,54.5,2040,3,1,92,2,5,7,1,62,4800,31,38,139
1,1,2,2,2,1,95.7,158.7,63.6,54.5,2015,3,1,92,2,5,7,1,62,4800,31,38,140
1,1,2,4,2,1,95.7,169.7,63.6,59.1,2280,3,1,92,2,5,7,1,62,4800,31,37,141
1,1,2,4,3,1,95.7,169.7,63.6,59.1,2290,3,1,92,2,5,7,1,62,4800,27,32,142
1,1,2,4,3,1,95.7,169.7,63.6,59.1,3110,3,1,92,2,5,7,1,62,4800,27,32,143
1,1,2,3,2,1,95.7,166.3,64.4,53.0,2081,3,1,98,2,3,7,1,70,4800,30,37,144
1,1,2,2,2,1,95.7,166.3,64.4,52.8,2109,3,1,98,2,3,7,1,70,4800,30,37,145
2,1,2,3,2,1,95.7,166.3,64.4,53.0,2275,3,1,110,7,34,22,31,56,4500,34,36,142
2,1,2,2,2,1,95.7,166.3,64.4,52.8,2275,3,1,110,7,34,22,31,56,4500,38,47,146
1,1,2,3,2,1,95.7,166.3,64.4,53.0,2094,3,1,98,2,3,7,1,70,4800,38,47,147
1,1,2,2,2,1,95.7,166.3,64.4,52.8,2122,3,1,98,2,3,7,1,70,4800,28,34,148
1,1,2,3,2,1,95.7,166.3,64.4,52.8,2140,3,1,98,2,3,7,1,70,4800,28,34,149
1,1,1,3,1,1,94.5,168.7,64.0,52.6,2169,3,1,98,2,3,7,1,70,4800,29,34,150
1,1,1,2,1,1,94.5,168.7,64.0,52.6,2204,3,1,98,2,3,7,1,70,4800,29,34,151
1,1,1,3,1,1,94.5,168.7,64.0,52.6,2265,1,1,98,1,35,34,11,112,6600,26,29,152
1,1,1,2,1,1,94.5,168.7,64.0,52.6,2300,1,1,98,1,35,34,11,112,6600,26,29,153
1,1,1,5,1,1,98.4,176.2,65.6,52.0,2540,3,1,146,1,7,35,29,116,4800,24,30,154
1,1,1,5,1,1,98.4,176.2,65.6,52.0,2536,3,1,146,1,7,35,29,116,4800,24,30,155
1,1,1,2,1,1,98.4,176.2,65.6,52.0,2551,3,1,146,1,7,35,29,116,4800,24,30,156
1,1,1,5,1,1,98.4,176.2,65.6,52.0,2679,3,1,146,1,7,35,29,116,4800,24,30,157
1,1,1,2,1,1,98.4,176.2,65.6,52.0,2714,3,1,146,1,7,35,29,116,4800,24,30,158
1,1,1,1,1,1,98.4,176.2,65.6,53.0,2975,3,1,146,1,7,35,29,116,4800,24,30,159
1,1,2,3,2,1,102.4,175.6,66.5,54.9,2326,3,1,122,1,6,36,27,92,4200,29,34,160
2,2,2,3,2,1,102.4,175.6,66.5,54.9,2480,3,1,110,7,34,22,31,73,4500,30,33,161
1,1,2,2,2,1,102.4,175.6,66.5,53.9,2414,3,1,122,1,6,36,27,92,4200,27,32,162
1,1,2,3,2,1,102.4,175.6,66.5,54.9,2414,3,1,122,1,6,36,27,92,4200,27,32,163
1,1,2,2,2,1,102.4,175.6,66.5,53.9,2458,3,1,122,1,6,36,27,92,4200,27,32,164
1,1,1,2,1,1,102.9,183.5,67.7,52.0,2976,1,2,171,1,34,22,29,161,5200,20,24,165
1,1,1,2,1,1,102.9,183.5,67.7,52.0,3016,1,2,171,1,34,22,29,161,5200,19,24,166
1,1,2,3,1,1,104.5,187.8,66.5,54.1,3131,1,2,171,1,34,22,13,156,5200,20,24,167
1,1,2,4,1,1,104.5,187.8,66.5,54.1,3151,1,2,161,1,34,22,13,156,5200,19,24,168
2,1,1,3,2,1,97.3,171.7,65.5,55.7,2261,3,1,97,7,36,3,32,52,4800,37,46,130
1,1,1,3,2,1,97.3,171.7,65.5,55.7,2209,3,1,109,1,3,3,1,85,5250,27,34,169
2,1,2,3,2,1,97.3,171.7,65.5,55.7,2264,3,1,97,7,36,3,32,52,4800,37,46,170
1,1,2,3,2,1,97.3,171.7,65.5,55.7,2212,3,1,109,1,3,3,1,85,5250,27,34,171
1,1,2,3,2,1,97.3,171.7,65.5,55.7,2275,3,1,109,1,3,3,1,85,5250,27,34,57
2,2,2,3,2,1,97.3,171.7,65.5,55.7,2319,3,1,97,7,36,3,32,68,4500,37,42,172
1,1,2,3,2,1,97.3,171.7,65.5,55.7,2300,3,1,109,1,3,3,2,100,5500,26,32,173
1,1,1,1,2,1,94.5,159.3,64.2,55.6,2254,3,1,109,1,3,3,4,90,5500,24,29,174
1,1,1,2,2,1,94.5,165.7,64.0,51.4,2221,3,1,109,1,3,3,4,90,5500,24,29,175
1,1,2,3,2,1,100.4,180.2,66.9,55.1,2661,3,3,136,1,3,3,4,110,5500,19,24,176
2,2,2,3,2,1,100.4,180.2,66.9,55.1,2579,3,1,97,7,36,3,32,68,4500,33,38,177
1,1,2,4,2,1,100.4,183.1,66.9,55.1,2563,3,1,109,1,3,3,1,88,5500,25,31,178
1,1,2,3,1,1,104.3,188.8,67.2,56.2,2912,3,1,141,1,24,17,8,114,5400,23,28,179
1,1,2,4,1,1,104.3,188.8,67.2,57.5,3034,3,1,141,1,24,17,8,114,5400,23,28,180
1,1,2,3,1,1,104.3,188.8,67.2,56.2,2935,3,1,141,1,24,17,8,114,5400,24,28,181
1,1,2,4,1,1,104.3,188.8,67.2,57.5,3042,3,1,141,1,24,17,8,114,5400,24,28,182
1,2,2,3,1,1,104.3,188.8,67.2,56.2,3045,3,1,130,1,7,17,22,162,5100,17,22,183
1,2,2,4,1,1,104.3,188.8,67.2,57.5,3157,3,1,130,1,7,17,22,162,5100,17,22,184
1,1,2,3,1,1,109.1,188.8,68.9,55.5,2952,3,1,141,1,24,17,8,114,5400,23,28,185
1,2,2,3,1,1,109.1,188.8,68.8,55.5,3049,3,1,141,1,24,17,27,160,5300,19,25,186
1,1,2,3,1,1,109.1,188.8,68.9,55.5,3012,2,2,173,1,22,37,7,134,5500,18,23,187
2,2,2,3,1,1,109.1,188.8,68.9,55.5,3217,3,2,145,7,36,3,32,106,4800,26,27,188
1,2,2,3,1,1,109.1,188.8,68.9,55.5,3062,3,1,141,1,24,17,8,114,5400,19,25,189
